iter	Passed	Remaining
159	7924	11886
160	7970	11832
161	8019	11781
162	8067	11730
163	8114	11676
164	8160	11623
165	8207	11570
166	8261	11526
167	8309	11474
168	8362	11430
169	8410	11378
170	8458	11327
171	8504	11273
172	8552	11221
173	8602	11173
174	8648	11120
175	8695	11067
176	8742	11014
177	8788	10960
178	8838	10912
179	8888	10863
180	8933	10808
181	8980	10757
182	9029	10706
183	9080	10660
184	9128	10608
185	9178	10559
186	9225	10507
187	9271	10454
188	9317	10401
189	9364	10350
190	9414	10301
191	9462	10251
192	9511	10201
193	9560	10152
194	9610	10103
195	9659	10053
196	9714	10010
197	9778	9975
198	9837	9936
199	9896	9896
200	9949	9850
201	10001	9803
202	10056	9759
203	10108	9712
204	10161	9665
205	10215	9620
206	10278	9583
207	10338	9543
208	10401	9505
209	10473	9475
210	10536	9437
211	10602	9402
212	10658	9357
213	10714	9312
214	10768	9265
215	10822	9219
216	10877	9172
217	10925	9121
218	10979	9074
219	11033	9027
220	11090	8983
221	11140	8932
222	11188	8880
223	11240	8831
224	11289	8780
225	11336	8728
226	11383	8675
227	11434	8625
228	11484	8575
229	11541	8530
230	11599	8485
231	11658	8442
232	11719	8400
233	11776	8353
234	11834	8309
235	11890	8262
236	11939	8211
237	12013	8177
238	12119	8164
239	12173	8115
240	12233	8070
241	12290	8024
242	12348	7978
243	12405	7931
244	12460	7883
245	12511	7832
246	12560	7780
247	12612	7729
248	12662	7678
249	12709	7625
250	12760	7574
251	12810	7523
252	12857	7470
253	12907	7419
254	12959	7368
255	13006	7316
256	13054	7263
257	13103	7211
258	13156	7162
259	13210	7113
260	13269	7066
261	13328	7020
262	13386	6973
263	13443	6925
264	13493	6873
265	13539	6820
266	13591	6770
267	13643	6719
268	13689	6666
269	13738	6614
270	13783	6561
271	13830	6508
272	13878	6456
273	13930	6406
274	13980	6354
275	14028	6302
276	14075	6250
277	14126	6199
278	14176	6148
279	14224	6096
280	14270	6043
281	14316	5990
282	14363	5938
283	14412	5886
284	14466	5837
285	14523	5789
286	14583	5742
287	14640	5693
288	14700	5646
289	14757	5597
290	14813	5548
291	14867	5498
292	14914	5446
293	14964	5395
294	15011	5343
295	15061	5291
296	15109	5239
297	15155	5187
298	15203	5135
299	15258	5086
300	15310	5035
301	15356	4983
302	15403	4931
303	15452	4879
304	15500	4828
305	15545	4775
306	15596	4724
307	15644	4673
308	15691	4620
309	15738	4569
310	15786	4517
311	15832	4465
312	15883	4414
313	15930	4363
314	15976	4311
315	16024	4259
316	16071	4208
317	16118	4156
318	16166	4104
319	16214	4053
320	16259	4001
321	16309	3950
322	16353	3898
323	16399	3846
324	16447	3795
325	16494	3744
326	16540	3692
327	16597	3643
328	16645	3592
329	16691	3540
330	16736	3488
331	16781	3437
332	16828	3385
333	16877	3335
334	16923	3283
335	16969	3232
336	17016	3181
337	17063	3129
338	17112	3079
339	17171	3030
340	17227	2980
341	17278	2930
342	17326	2879
343	17376	2828
344	17424	2777
345	17472	2726
346	17519	2675
347	17567	2625
348	17615	2574
349	17662	2523
350	17710	2472
351	17756	2421
352	17802	2370
353	17854	2320
354	17900	2269
355	17946	2218
356	17994	2167
357	18043	2116
358	18090	2066
359	18138	2015
360	18189	1965
361	18244	1915
362	18293	1864
363	18338	1813
364	18385	1763
365	18435	1712
366	18481	1661
367	18528	1611
368	18577	1560
369	18624	1510
370	18674	1459
371	18727	1409
372	18784	1359
373	18838	1309
374	18895	1259
375	18953	1209
376	19020	1160
377	19083	1110
378	19147	1060
379	19213	1011
380	19281	961
381	19346	911
382	19403	861
383	19468	811
384	19529	760
385	19587	710
386	19647	660
387	19701	609
388	19758	558
389	19811	507
390	19860	457
391	19910	406
392	19962	355
393	20013	304
394	20064	253
395	20115	203
396	20166	152
397	20219	101
398	20284	50
399	20359	0
